4K,#genre#
珠海2,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhuhaiertao_1500
河源综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=heyuanyitao_1500
河源公共,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=heyuanertao_1500
肇庆综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhaoqingyitao_1500
肇庆生活服务,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhaoqingertao_1500
揭阳综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=jieyangyitao_1500
揭阳生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=jieyangertao_1500
清远新闻综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=qingyuanzonghe_1500
清远文旅生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=qingyuangongong_1500
汕尾新闻综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shanweiyitao_1500
汕尾文化生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shanweiertao_1500


香港,#genre#
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8#https://uc6.i-cable.com/live_freedirect/freehd209_h.live/playlist.m3u8#https://api.leonardpark.dev/live/icable/109
凤凰中文,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=fhzw_1500#http://192.168.2.254:5678/sxg.php?id=test1_4000
凤凰资讯,http://192.168.2.254:5678/sxg.php?id=test2_4000
翡翠台,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=1350_4500
明珠台,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=1351_4500
